Ticker,Price,P/E Ratio,P/S Ratio,P/B Ratio,ROE,EV/EBITDA,1M Return,3M Return,6M Return,12M Return
ICE,179.8000,37.2300,9.1200,3.6900,0.1027,,0.0704,0.0408,0.1328,0.3587
IFF,76.5600,,1.7100,1.4900,-0.0608,,-0.0242,-0.0595,-0.1495,-0.1897
IP,47.8100,40.7600,1.2700,1.3900,0.0301,,0.0567,-0.1434,-0.1829,0.0994
IPG,23.9600,18.3200,0.8400,2.4500,0.1333,,-0.0462,-0.1149,-0.2010,-0.2020
INTU,753.4700,61.3100,11.5600,10.4500,0.1784,,0.2008,0.2296,0.1913,0.3156
ISRG,552.3400,81.0200,22.7200,11.5700,0.1594,,0.0708,-0.0363,0.0294,0.3736
IVZ,14.4600,11.5800,1.0600,0.6100,0.0550,,0.0522,-0.1572,-0.1834,-0.0337
INVH,33.7000,98.0800,7.6200,2.1300,0.0492,,-0.0143,-0.0007,0.0133,0.0015
IQV,140.3300,19.1300,1.5700,4.0900,0.2165,,-0.0951,-0.2567,-0.3122,-0.3595
IRM,98.7100,240.5800,4.6500,,59.9519,,0.1008,0.0692,-0.1700,0.2594
JBHT,138.8500,25.2100,1.1400,3.5600,0.1397,,0.0667,-0.1358,-0.2585,-0.1270
JBL,168.0100,40.2600,0.6600,13.5500,0.2410,,0.1469,0.0850,0.2550,0.4164
JKHY,181.1700,30.8400,5.6900,6.4800,0.2249,,0.0480,0.0504,0.0611,0.1143
J,126.3000,34.8300,1.1600,3.9300,0.0846,,0.0330,-0.0018,-0.0797,0.1036
JNJ,155.2100,17.2500,4.1800,4.7800,0.2945,,0.0015,-0.0514,0.0211,0.0927
JCI,101.3700,27.0300,2.7100,4.2200,0.1492,,0.2082,0.1887,0.2274,0.4373
JPM,264.0000,12.9600,2.5700,2.2100,0.1725,,0.0792,0.0037,0.0668,0.3331
JNPR,35.9300,34.3400,2.3100,2.4900,0.0758,,-0.0107,-0.0014,0.0048,0.0318
K,82.6300,20.8200,2.2700,7.3200,0.3905,,-0.0017,0.0036,0.0330,0.4116
KVUE,23.8700,43.5300,2.9900,4.5600,0.1022,,0.0203,0.0203,0.0032,0.2833
KDP,33.6700,30.5000,2.9500,1.8700,0.0613,,-0.0266,0.0113,0.0394,0.0094
KEY,15.8600,,1.8800,1.0700,0.0014,,0.0829,-0.0608,-0.1699,0.1583
KEYS,157.0400,36.8400,5.2900,4.9300,0.1430,,0.0801,-0.0156,-0.0853,0.1340
KMB,143.7600,19.5900,2.4200,43.3300,2.2984,,0.0909,0.0214,0.0517,0.1169
KIM,21.2600,27.7900,6.8800,1.3600,0.0519,,0.0641,-0.0267,-0.1494,0.1481
KMI,28.0400,24.2400,4.0200,2.0400,0.0843,,0.0662,0.0459,0.0286,0.5070
KKR,121.4600,52.6600,6.5600,4.3300,0.0903,,0.0646,-0.1028,-0.2337,0.1877
KLAC,756.8800,27.5100,8.6700,24.9900,1.0410,,0.0797,0.0703,0.1795,0.0058
KHC,26.7300,12.1200,1.2400,0.6400,0.0536,,-0.0676,-0.1051,-0.1308,-0.1948
KR,68.2300,18.5600,0.3100,5.4400,0.2659,,-0.0505,0.0577,0.1466,0.3308
LHX,244.3400,28.9600,2.1500,2.4000,0.0849,,0.1105,0.1920,0.0211,0.1091
LH,248.9700,28.7200,1.5800,2.5100,0.0899,,0.0360,-0.0053,0.0409,0.2926
LRCX,80.7900,22.5100,6.0300,10.9000,0.5314,,0.1272,0.0560,0.1027,-0.1267
LW,55.7800,21.8800,1.2300,4.8200,0.2163,,0.0638,0.0831,-0.2639,-0.3529
LVS,41.1600,22.9400,2.6000,10.7800,0.3921,,0.1298,-0.0734,-0.1892,-0.0660
LDOS,148.5200,14.9500,1.1300,4.4900,0.3131,,0.0091,0.1462,-0.0871,0.0209
LEN,106.0800,7.7200,0.7800,1.2300,0.1497,,-0.0233,-0.1091,-0.3815,-0.3090
LII,564.4500,25.1600,3.7300,23.5000,1.3148,,0.0324,-0.0589,-0.1646,0.1321
LLY,737.6700,61.1100,14.2700,44.3600,0.7773,,-0.1777,-0.1971,-0.0193,-0.0946
LIN,467.5800,33.9300,6.6700,5.7900,0.1720,,0.0317,0.0045,0.0326,0.0871
LYV,137.1900,46.9700,1.4000,299.9500,8.2753,,0.0358,-0.0430,-0.0238,0.4635
LKQ,40.4700,15.1300,0.7400,1.6900,0.1137,,0.0668,-0.0270,0.0325,-0.0312
LMT,482.3800,20.8400,1.5700,16.8200,0.8255,,0.0097,0.0790,-0.0630,0.0525
L,89.2900,14.6700,1.0500,1.0900,0.0795,,0.0291,0.0310,0.0426,0.1661
LOW,225.7300,18.7000,1.5200,,,,0.0097,-0.0874,-0.1722,0.0393
LULU,316.6700,21.7000,3.7500,8.8800,0.4242,,0.1695,-0.1339,-0.0308,0.0150
LYB,56.4900,17.4700,0.4800,1.4900,0.0719,,-0.0295,-0.2518,-0.3050,-0.3961
MTB,182.6400,12.2400,2.2200,1.1200,0.0939,,0.0759,-0.0406,-0.1662,0.2415
MPC,160.7400,22.5800,0.3600,3.0300,0.1237,,0.1764,0.0764,0.0389,-0.0697
MKTX,216.4100,37.5800,9.9700,6.0300,0.1625,,-0.0200,0.1264,-0.1736,0.1025
MAR,263.8300,30.0500,2.8500,,,,0.1087,-0.0568,-0.0795,0.1526
MMC,233.6600,28.6600,4.6000,8.1800,0.3051,,0.0363,-0.0143,0.0200,0.1421
MLM,547.5500,31.4800,4.9700,3.6300,0.1188,,0.0450,0.1352,-0.0908,-0.0374
MAS,62.4200,17.0600,1.7100,,,,0.0350,-0.1656,-0.2335,-0.0924
MA,585.6000,41.0800,18.3000,79.8800,1.8892,,0.0685,0.0177,0.1154,0.3176
MTCH,29.9400,14.7700,2.1300,,,,0.0094,-0.0501,-0.0698,-0.0108
MKC,72.7300,24.9700,2.9000,3.6000,0.1473,,-0.0513,-0.1144,-0.0477,0.0304
MCD,313.8500,27.6900,8.7300,,,,-0.0181,0.0238,0.0722,0.2418
MCK,719.5100,27.8700,0.2500,,,,0.0094,0.1250,0.1693,0.2690
MDT,82.9800,22.9400,3.1700,2.2200,0.0949,,-0.0210,-0.0911,-0.0162,0.0542
MRK,76.8400,11.1900,3.0300,4.0000,0.3931,,-0.0981,-0.1599,-0.2277,-0.3698
META,647.4900,25.2600,9.5600,8.8300,0.3983,,0.1794,-0.0301,0.1477,0.3921
MET,78.5800,12.7900,0.7200,1.9200,0.1608,,0.0503,-0.0814,-0.0878,0.1175
MTD,1155.5200,28.8200,6.2700,,,,0.0794,-0.0921,-0.0563,-0.1770
MGM,31.6500,14.1800,0.5000,3.1000,0.2138,,0.0060,-0.0895,-0.1738,-0.2121
MCHP,58.0060,,7.1100,4.4200,-0.0001,,0.2693,-0.0063,-0.1564,-0.3864
MU,94.4600,22.7000,3.3700,2.1700,0.1010,,0.2276,0.0102,-0.0936,-0.2408
MSFT,460.3600,35.5700,12.6700,10.6300,0.3361,,0.1668,0.1618,0.1035,0.1175
MAA,156.6500,32.6000,8.5700,3.0700,0.0937,,-0.0188,-0.0592,-0.0137,0.2191
MRNA,26.5600,,3.2300,1.0200,-0.2934,,-0.0694,-0.1421,-0.3917,-0.8137
MHK,100.6100,13.1600,0.5900,0.8000,0.0626,,-0.0540,-0.1444,-0.3063,-0.1749
MOH,305.0400,14.7300,0.4000,3.8200,0.2672,,-0.0672,0.0130,0.0237,-0.0303
TAP,53.5900,10.7800,1.0000,0.8300,0.0790,,-0.0685,-0.1256,-0.1035,0.0089
MDLZ,67.4900,25.0800,2.4000,3.3900,0.1327,,-0.0094,0.0581,0.0549,0.0124
MPWR,661.9000,17.5700,13.2800,9.7000,0.6795,,0.1160,0.0862,0.1069,-0.0933
MNST,63.9500,42.2200,8.3700,9.5700,0.2000,,0.0637,0.1702,0.1632,0.2317
MCO,479.3200,41.4100,11.9300,23.3100,0.5790,,0.0599,-0.0470,-0.0261,0.2164
MS,128.0300,15.0200,1.9300,2.1200,0.1388,,0.1093,-0.0304,-0.0280,0.3504
MOS,36.1400,31.1900,1.0400,0.9700,0.0309,,0.1888,0.5248,0.4015,0.2064
MSI,415.3800,34.6500,6.3300,42.2500,1.8918,,-0.0568,-0.0539,-0.1452,0.1495
MSCI,564.0200,38.7900,14.9300,,,,0.0379,-0.0419,-0.0424,0.1525
NDAQ,83.5400,37.8800,6.1400,4.1500,0.1143,,0.0962,0.0125,0.0312,0.4347
NTAP,99.1600,17.4500,3.1100,20.2300,1.0851,,0.1048,-0.0001,-0.2055,-0.1607
NFLX,1207.2300,57.0500,12.8800,21.3900,0.4084,,0.0667,0.2312,0.3947,0.8815
NEM,52.7200,11.8300,3.0100,1.8900,0.1665,,0.0054,0.2437,0.2623,0.2919
NWSA,28.2400,33.0800,1.7900,1.9500,0.0588,,0.0413,-0.0096,-0.0378,0.0465
NWS,32.7200,38.3300,1.7900,2.2600,0.0588,,0.0414,0.0169,0.0220,0.1817
NEE,70.6400,26.4200,5.8800,2.9200,0.1119,,0.0562,0.0067,-0.0707,-0.0923
NKE,60.5900,20.1600,1.8700,6.3900,0.3193,,0.0743,-0.2333,-0.2278,-0.3506
NI,39.5400,21.3000,3.1400,2.0900,0.1034,,0.0110,-0.0242,0.0572,0.4030
NDSN,211.9900,27.2700,4.4300,4.0500,0.1554,,0.1183,0.0119,-0.1898,-0.0873
NSC,247.1200,16.8800,4.6000,3.8400,0.2452,,0.1097,0.0117,-0.0941,0.1242
NTRS,106.7400,9.9600,1.3400,1.7300,0.1754,,0.1358,-0.0240,-0.0200,0.3085
NOC,484.7700,19.0800,1.7300,4.6600,0.2541,,-0.0036,0.0546,0.0077,0.0891
NCLH,17.6500,10.7600,0.8400,5.5300,0.9587,,0.1011,-0.2232,-0.3499,0.0633
NRG,155.9000,24.5500,1.0400,14.4000,0.4491,,0.4284,0.4807,0.7112,0.9602
NUE,109.3600,19.4700,0.8300,1.2600,0.0654,,-0.0839,-0.2009,-0.2806,-0.3416
NVDA,135.1300,43.5300,22.2000,39.3100,1.1546,,0.2406,0.0818,-0.0064,0.2330
NVR,7115.9300,14.6400,2.0100,5.1100,0.3825,,-0.0014,-0.0179,-0.2343,-0.0735
NXPI,191.1300,20.8200,3.9200,5.1900,0.2602,,0.0370,-0.1091,-0.1749,-0.2852
ORLY,1367.5000,33.5100,4.6200,,,,-0.0337,-0.0045,0.1039,0.4197
OXY,40.7800,16.5000,1.4400,1.4500,0.0943,,0.0348,-0.1608,-0.1837,-0.3360
ODFL,160.1700,30.0300,5.9100,8.0100,0.2659,,0.0450,-0.0911,-0.2865,-0.0809
OMC,73.4400,10.0500,0.9100,3.2800,0.3650,,-0.0357,-0.1053,-0.2864,-0.1854
ON,42.0200,29.1500,2.6300,2.1900,0.0785,,0.0584,-0.1069,-0.4195,-0.4247
OKE,80.8400,15.7800,2.0200,2.3600,0.1604,,-0.0037,-0.1846,-0.2581,0.0444
ORCL,165.5300,38.8900,8.3200,27.7300,1.0879,,0.1763,0.0004,-0.1141,0.4283
OTIS,95.3500,25.0100,2.6600,,,,-0.0053,-0.0403,-0.0616,-0.0229
PCAR,93.8500,14.2400,1.5200,2.7300,0.1990,,0.0439,-0.1218,-0.1661,-0.0908
PKG,193.1700,20.2200,2.0300,3.8600,0.2007,,0.0407,-0.0875,-0.2094,0.0792
PLTR,131.7800,575.4600,99.8400,57.3300,0.1241,,0.1126,0.5518,1.0384,5.0784
PANW,192.4200,110.1100,14.4600,17.7200,0.2116,,0.0294,0.0105,-0.0040,0.3049
PARA,12.1000,,0.3000,0.4900,-0.2856,,0.0307,0.0697,0.0977,0.0348
PH,664.7000,25.5800,4.2900,6.3400,0.2716,,0.1017,-0.0029,-0.0515,0.2635
PAYX,157.9100,32.8400,10.4600,13.8200,0.4425,,0.0810,0.0486,0.1021,0.3519
PAYC,259.0900,36.9900,7.8300,8.4500,0.2499,,0.1461,0.1843,0.1078,0.7957
PYPL,70.2800,15.7700,2.1500,3.4000,0.2220,,0.0674,-0.0108,-0.1993,0.1157
PNR,99.1800,25.5800,4.0000,4.4900,0.1859,,0.0931,0.0561,-0.0761,0.2318
PEP,131.4500,19.3300,1.9700,9.8100,0.5006,,-0.0305,-0.1359,-0.1798,-0.2144
PFE,23.4900,17.0200,2.1400,1.4800,0.0862,,-0.0193,-0.0943,-0.0702,-0.1256
PCG,16.8800,15.5200,0.0000,1.2700,0.0855,,0.0218,0.0346,-0.2012,-0.0861
PM,180.5900,37.1100,7.3600,,,,0.0539,0.1733,0.4093,0.8613
PSX,113.4800,25.8800,0.3400,1.7000,0.0648,,0.1010,-0.1166,-0.1326,-0.1725
PNW,91.2300,18.1200,2.0900,1.6200,0.0908,,-0.0323,-0.0047,0.0020,0.2049
PNC,173.8100,12.2700,2.0600,1.3600,0.1115,,0.0816,-0.0849,-0.1666,0.1453
POOL,300.5900,28.1900,2.1500,9.1400,0.3149,,0.0296,-0.1272,-0.2235,-0.1612
PPG,110.8000,18.7700,1.5000,3.6300,0.1847,,0.0242,-0.0153,-0.1085,-0.1371
PPL,34.7500,25.9500,2.9700,1.8000,0.0700,,-0.0479,-0.0051,0.0263,0.2245
PFG,77.8900,16.7000,1.1100,1.5600,0.0970,,0.0504,-0.1172,-0.0893,-0.0167
PG,169.8900,26.9800,4.7500,7.7400,0.3029,,0.0450,-0.0166,-0.0304,0.0578
PGR,284.9300,19.1800,2.1300,5.7700,0.3434,,0.0113,0.0107,0.0927,0.3769
PLD,108.6000,27.4100,12.3100,1.8900,0.0701,,0.0626,-0.1158,-0.0639,0.0164
PRU,103.8900,16.4400,0.6100,1.2300,0.0804,,0.0243,-0.0860,-0.1726,-0.0959
PEG,81.0300,22.1500,3.7400,2.4700,0.1140,,0.0138,0.0065,-0.1159,0.1027
PTC,168.3200,46.2500,8.6000,5.9600,0.1391,,0.0861,0.0287,-0.1609,-0.0449
PSA,308.4100,30.6300,11.4600,10.3700,0.2020,,0.0266,0.0259,-0.0960,0.1707
PHM,98.0300,6.9200,1.1000,1.6000,0.2552,,-0.0444,-0.0488,-0.2850,-0.1584
PWR,342.5600,55.3900,2.0400,6.8100,0.1348,,0.1704,0.3199,-0.0004,0.2431
QCOM,145.2000,14.7900,3.7700,5.7600,0.4221,,-0.0220,-0.0712,-0.0760,
DGX,173.3400,21.9100,1.9000,2.8000,0.1335,,-0.0274,0.0075,0.0776,0.2457
RL,276.8100,23.8400,2.3600,6.5800,0.2949,,0.2305,0.0247,0.2673,0.5053
RJF,146.9800,14.1600,1.9000,2.4600,0.1884,,0.0725,-0.0463,-0.1141,0.2145
RTX,136.4800,40.0200,2.2300,2.9600,0.0754,,0.0876,0.0315,0.1620,0.2925
O,56.6200,51.3800,9.4400,1.3100,0.0250,,-0.0169,0.0068,0.0139,0.1283
REG,72.1500,34.0300,8.9500,2.0200,0.0583,,-0.0004,-0.0502,-0.0066,0.2220
REGN,490.2800,12.4800,3.7600,1.8100,0.1596,,-0.1800,-0.2973,-0.3441,-0.4984
RF,21.4400,10.3500,2.0600,1.1500,0.1133,,0.0505,-0.0861,-0.2039,0.1567
RSG,257.2900,38.7900,4.9700,6.8800,0.1854,,0.0261,0.0881,0.1872,0.4046
RMD,244.7900,27.4800,7.1500,6.4800,0.2581,,0.0369,0.0505,-0.0148,0.1971
RVTY,90.4200,35.7500,3.8500,1.4100,0.0382,,-0.0322,-0.1932,-0.2104,-0.1703
ROK,315.5500,39.7300,4.4600,10.3400,0.2586,,0.2794,0.1036,0.0656,0.2477
ROL,57.2500,58.1100,8.0100,20.4600,0.3783,,0.0050,0.0960,0.1244,0.2688
ROP,570.2700,41.1300,8.4700,3.1900,0.0809,,0.0182,-0.0230,0.0252,0.0766
ROST,140.0900,22.1400,2.1700,8.3600,0.3957,,0.0078,0.0016,-0.0810,0.0130
RCL,256.9700,21.5800,4.1600,8.7700,0.4955,,0.1957,0.0478,0.0752,0.7543
SPGI,512.8600,40.2700,10.8500,4.8200,0.1168,,0.0275,-0.0373,-0.0094,0.2083
CRM,265.3700,41.5100,6.5700,4.1900,0.1031,,-0.0124,-0.1076,-0.2153,0.1386
SBAC,231.8900,30.6900,9.2800,,,,-0.0427,0.0748,0.0364,0.2015
SLB,33.0500,11.2100,1.2500,2.3000,0.2082,,-0.0060,-0.2067,-0.2345,-0.2607
STX,117.9400,17.0400,2.9300,,,,0.2956,0.1668,0.1818,0.3020
SRE,78.5900,17.2900,3.8800,1.6700,0.0976,,0.0582,0.1081,-0.1574,0.0530
NOW,1011.0900,137.2500,18.2500,20.6400,0.1686,,0.0587,0.0875,-0.0395,0.5391
SHW,358.8100,33.9500,3.9000,21.7700,0.7022,,0.0189,-0.0052,-0.0984,0.1908
SPG,163.0700,24.3600,10.2600,20.7500,0.7322,,0.0362,-0.1128,-0.0728,0.1324
SWKS,69.0300,26.9600,2.6200,1.7800,0.0670,,0.0848,0.0461,-0.1922,-0.2284
SJM,112.6100,,1.3600,1.7300,-0.0355,,-0.0221,0.0287,0.0111,0.0486
SW,43.3300,35.4700,0.8700,1.2700,0.0425,,0.0312,-0.1679,-0.2236,
SNA,320.7500,16.7800,3.3100,3.0400,0.1915,,0.0287,-0.0538,-0.1234,0.2060
SOLV,73.0900,33.6800,1.5200,3.8800,0.1063,,0.1054,-0.0835,0.0207,0.2317
SO,90.0000,21.5800,3.5500,2.9200,0.1401,,-0.0123,0.0108,0.0351,0.1611
LUV,33.3800,39.6400,0.6900,2.0300,0.0563,,0.1938,0.0811,0.0409,0.2733
SWK,65.4300,27.7900,0.6600,1.1400,0.0403,,0.0901,-0.2364,-0.2793,-0.2216
SBUX,83.9500,30.5200,2.6300,,,,0.0561,-0.2700,-0.1654,0.0726
STT,96.2800,10.8100,1.2900,1.2000,0.1121,,0.0928,-0.0214,-0.0094,0.3182
STLD,123.0110,16.2700,1.0600,2.0800,0.1308,,-0.0512,-0.0852,-0.1442,-0.0664
STE,245.2100,39.5200,4.4200,3.6500,0.0946,,0.0911,0.1184,0.1375,0.1111
SYK,382.6400,51.6400,6.3000,6.9900,0.1426,,0.0233,-0.0069,-0.0013,0.1322
SMCI,40.0200,22.0900,1.1100,3.7400,0.2103,,0.2561,-0.0347,0.0419,-0.4899
SYF,57.6500,7.9100,1.1200,1.4300,0.1860,,0.1159,-0.0446,-0.1321,0.3418
SNPS,463.9800,33.4100,11.5900,7.2600,0.1582,,0.0108,0.0147,-0.1742,-0.1726
SYY,73.0000,18.8800,0.4400,18.4100,0.9491,,0.0224,-0.0270,-0.0375,0.0305
TMUS,242.2000,23.6100,3.3300,4.5100,0.1935,,-0.0156,-0.0986,0.0202,0.4037
TROW,93.5900,10.6200,2.9000,1.9900,0.1947,,0.0569,-0.1024,-0.2203,-0.1677
TTWO,226.2800,,7.1300,18.7500,-1.1476,,-0.0302,0.0675,0.2061,0.4111
TPR,78.5500,20.6700,2.3700,10.9200,0.4027,,0.1118,-0.0764,0.3036,0.8545
TRGP,157.9300,29.0200,2.0300,14.0100,0.4637,,-0.0759,-0.2127,-0.2072,0.3620
TGT,94.0100,10.3300,0.4000,2.8600,0.2908,,-0.0167,-0.2347,-0.2653,-0.3766
TEL,160.0700,35.0800,2.9600,3.9400,0.1133,,0.0983,0.0438,0.0571,0.0878
TDY,498.8600,28.5200,4.0500,2.3500,0.0861,,0.0704,-0.0314,0.0445,0.2567
TER,78.6000,22.2500,4.3400,4.5100,0.2155,,0.0608,-0.2835,-0.2879,-0.4397
TSLA,346.4600,190.5300,11.6400,14.9400,0.0916,,0.2279,0.1825,0.0232,0.9455
TXN,182.7400,34.6400,10.3500,10.1300,0.2904,,0.1425,-0.0591,-0.0845,-0.0348
TPL,1114.0300,55.7300,35.1900,21.2300,0.3950,,-0.1357,-0.2190,-0.3083,0.8484
TXT,74.0300,16.7600,0.9600,1.8400,0.1170,,0.0520,-0.0091,-0.1362,-0.1542
TMO,402.8200,23.6400,3.5400,3.0800,0.1373,,-0.0610,-0.2378,-0.2154,-0.2887
TJX,126.9000,29.9200,2.4900,16.6500,0.6036,,-0.0106,0.0205,0.0233,0.2467
TKO,157.8100,91.6100,9.0700,3.1000,0.0419,,-0.0313,0.0504,0.1568,0.4508
TSCO,48.4000,24.0700,1.7200,11.4900,0.4962,,-0.0395,-0.1216,-0.1465,-0.1444
TT,430.2700,35.8000,4.7200,12.8400,0.3845,,0.1225,0.2198,0.0460,0.3270
TDG,1468.4300,49.5800,9.8300,,,,0.0392,0.0740,0.1645,0.1542
TRV,275.7000,15.0100,1.3300,2.2200,0.1605,,0.0438,0.0709,0.0642,0.3008
TRMB,71.2700,11.6100,4.7600,3.1200,0.3100,,0.1469,-0.0099,-0.0230,0.2800
TFC,39.5000,11.6400,2.1500,0.8800,0.0010,,0.0440,-0.1364,-0.1584,0.0981
TYL,576.9900,87.0000,11.3600,7.0800,0.0887,,0.0620,-0.0517,-0.0756,0.2012
TSN,56.1600,21.3900,0.3700,1.0700,0.0501,,-0.0747,-0.0762,-0.0972,0.0134
USB,43.5900,10.7900,1.6200,1.2800,0.1150,,0.0806,-0.0594,-0.1689,0.1253
UBER,84.1600,14.6800,3.8800,8.0100,0.7439,,0.0389,0.1072,0.1463,0.3036
UDR,41.4300,115.9200,8.1700,4.1700,0.0340,,-0.0107,-0.0733,-0.0717,0.1177
ULTA,471.4600,18.4100,1.8600,8.7400,0.5044,,0.1916,0.2869,0.3000,0.1933
UNP,221.6600,19.9700,5.4600,8.2800,0.4247,,0.0340,-0.0960,-0.0954,-0.0262
UAL,79.4450,7.2400,0.4500,2.0600,0.3357,,0.1543,-0.1532,-0.1796,0.4992
UPS,97.5400,14.2300,0.9100,5.2800,0.3596,,0.0403,-0.1671,-0.2688,-0.2579
URI,708.3800,18.3400,2.9600,5.2400,0.3017,,0.1246,0.1056,-0.1765,0.0678
UNH,301.9100,12.6200,0.6700,2.8900,0.2433,,-0.2662,-0.3616,-0.4976,-0.3808
UHS,190.3500,10.6900,0.7600,1.8100,0.1835,,0.0750,0.0874,-0.0424,0.0069
VLO,128.9700,45.4700,0.3100,1.7200,0.0373,,0.1204,-0.0051,-0.0622,
VTR,64.2800,194.2600,17.1200,2.5300,0.0136,,-0.0828,-0.0643,0.0322,0.3187
VLTO,101.0300,28.8900,4.7400,10.8800,0.4619,,0.0535,0.0139,-0.0666,0.0289
VRSN,272.4700,33.3100,16.2400,,,,-0.0316,0.1485,0.5019,0.5673
VRSK,314.1400,46.0000,14.9900,357.4500,4.7586,,0.0597,0.0597,0.0809,0.2500
VZ,43.9600,10.4400,1.3700,1.8400,0.1823,,-0.0023,0.0363,0.0336,0.1403
VRTX,442.0500,,10.2800,6.8900,-0.0564,,-0.1324,-0.0787,-0.0426,-0.0292
VTRS,8.7900,,0.7200,0.6700,-0.2125,,0.0589,-0.0219,-0.3242,-0.1316
VICI,31.7100,12.6500,8.6300,1.2600,0.1012,,-0.0097,-0.0108,0.0020,0.1673
V,365.1900,37.1400,18.8200,19.1000,0.5003,,0.0587,0.0085,0.1699,0.3501
VST,160.5700,25.1900,2.5000,23.2400,0.4629,,0.2387,0.2034,0.0452,0.6341
VMC,265.0700,37.5800,4.6600,4.3000,0.1210,,0.0123,0.0761,-0.0834,0.0443
WRB,74.6900,17.3200,2.0300,3.1800,0.2073,,0.0418,0.1856,0.1976,0.4167
GWW,1087.5600,27.7700,3.0300,15.0200,0.5719,,0.0641,0.0673,-0.1017,0.1897
WAB,202.3200,31.7100,3.3000,3.3400,0.1062,,0.0965,0.0929,0.0179,0.2013
WBA,11.2500,,0.0600,1.3700,-0.5613,,0.0255,0.0534,0.2417,-0.2683
WMT,98.7200,42.3000,1.1500,8.7000,0.2280,,0.0176,0.0063,0.1112,0.5166
DIS,113.0400,23.0900,2.1700,1.9500,0.0875,,0.2429,-0.0067,-0.0212,0.0977
WBD,9.9700,,0.6400,0.7300,-0.2769,,0.1499,-0.1300,-0.0413,0.2100
WM,240.9700,36.3400,4.2300,11.2100,0.3401,,0.0326,0.0390,0.0755,0.1601
WAT,349.2400,31.6700,6.9700,10.5900,0.4082,,0.0043,-0.0745,-0.0765,0.1306
WEC,107.4400,20.9700,3.7800,2.6400,0.1296,,-0.0105,0.0158,0.0786,0.3735
WFC,74.7800,13.4400,1.9600,1.5000,0.1105,,0.0589,-0.0400,-0.0174,0.2780
WELL,154.2800,166.3200,11.8000,2.9600,0.0352,,0.0158,0.0097,0.1469,0.5179
WST,210.8500,33.1100,5.2300,5.6400,0.1742,,-0.0021,-0.0916,-0.3396,-0.3619
WDC,51.5500,9.8000,1.2500,3.4800,0.2845,,0.1753,0.0535,-0.0177,-0.0942
WY,25.9100,51.7000,2.6500,1.9500,0.0371,,0.0081,-0.1261,-0.1788,-0.1128
WSM,161.7600,18.3100,2.5600,9.2000,0.5110,,0.0472,-0.1647,-0.0835,0.1206
WMB,60.5100,32.4600,6.7000,5.9300,0.1832,,0.0331,0.0494,0.0583,0.5168
WTW,316.5500,,3.2000,3.8600,-0.0060,,0.0284,-0.0655,0.0117,0.2548
WDAY,247.7100,136.7800,7.6300,7.4000,0.0570,,0.0111,-0.0594,-0.0746,0.1715
WYNN,90.5400,24.7100,1.3600,,,,0.1303,0.0163,-0.0260,-0.0349
XEL,70.1000,20.6700,2.9400,2.0400,0.1026,,-0.0085,-0.0196,-0.0046,0.3097
XYL,126.0400,33.9100,3.5700,2.8400,0.0862,,0.0487,-0.0340,-0.0136,
YUM,143.9400,28.7000,5.1700,,,,-0.0385,-0.0750,0.0656,0.0679
ZBRA,289.7700,27.3900,2.8900,4.0900,0.1616,,0.1576,-0.0802,-0.2773,-0.0723
ZBH,92.1700,20.4300,2.3700,1.4700,0.0731,,-0.1056,-0.1146,-0.1657,-0.1925
ZTS,168.6300,30.2800,8.0800,16.1600,0.5185,,0.0782,0.0117,-0.0504,0.0056
